"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"RSTD","106",90.56,116.2,238.4,250.06,0.0445169128663838,0.767469207821414,0.915411316230893
"RSTD","107",83.06,232.39,470.78,482.44,0.0383154438622296,0.102864644257352,1.50367674883455
"RSTD","108",78.61,159.84,325.68,337.34,0.103412755765021,0.931781497318298,0.611572288970046
"RSTD","109",57.22,247.81,501.62,513.28,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","110",97.22,51.07,108.14,119.8,0.0529705588250608,0.351797909243032,1.41906907781959
"RSTD","111",89.44,120.36,246.72,258.38,0.102924682665616,0.814640038879588,0.931757510080933
"RSTD","113",92.78,110.25,226.5,238.16,0.0897369897980243,0.794342321110889,1.22963453467935
"RSTD","114",90.56,148.88,303.76,315.42,0.0383154438622296,0.102864644257352,1.50367674883455
"RSTD","115",56.94,251.08,508.16,519.82,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","116",63.06,221.15,448.3,459.96,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","117",53.89,211.22,428.44,440.1,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","118",94.17,115.94,237.88,249.54,0.00866923338733611,0.351797909243032,1.41906907781959
"RSTD","119",98.61,52.8,111.6,123.26,0.0284170614834875,0.379816537722945,1.54202300822362
"RSTD","120",94.72,90.56,187.12,198.78,0.0420595335308462,0.494916235230863,1.25928224090859
"RSTD","121",83.33,170.21,346.42,358.08,0.103412755765021,0.380242163781077,0.789364759322042
"RSTD","122",83.06,203.08,412.16,423.82,0.0420595335308462,0.931336362846196,0.758041662257165
"RSTD","123",90.56,262.1,530.2,541.86,0.0402093432224096,0.519314127264097,1.19402021614209
"RSTD","124",91.39,133.66,273.32,284.98,0.0420595335308462,0.261985136568546,1.13077111868188
"RSTD","125",91.94,223.99,453.98,465.64,0.0602386042791903,0.756562729151919,1.3095342694439
"RSTD","126",93.61,137.3,280.6,292.26,0.0420595335308462,0.494916235230863,1.25928224090859
"RSTD","127",90,182.3,370.6,382.26,0.0295606288947165,0.756562729151919,0.728966613010317
"RSTD","128",55,261.77,529.54,541.2,0.640506813768297,0.710182401351631,0.0312372118847071
"RSTD","129",97.22,46.19,98.38,110.04,0.0266070441752672,0.213079559201375,1.23096252242103
"Utility","1",53.06,251.23,508.46,520.12,0.0420595335308462,0.106439507978857,0.75717054727599
"Utility","2",61.67,203.52,413.04,424.7,1.43870060145962e-05,0.000624773325398564,2.19767631264403
