"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"RSTD","36",57.78,298.36,602.72,614.38,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","37",57.5,278.64,563.28,574.94,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","38",60,343.14,692.28,703.94,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","39",52.78,344.03,694.06,705.72,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","40",58.89,243.31,492.62,504.28,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","41",59.72,245.96,497.92,509.58,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","42",93.61,134.65,275.3,286.96,0.0948406609240919,0.301228899974376,3.53904571849853
"RSTD","43",96.67,208.01,422.02,433.68,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","44",89.17,198.82,403.64,415.3,0.12189925997518,0.954473827499896,2.46448994148523
"RSTD","45",55.56,280.3,566.6,578.26,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","46",56.67,207.06,420.12,431.78,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","47",52.5,408.19,822.38,834.04,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","48",61.94,312,630,641.66,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","49",56.67,263.97,533.94,545.6,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","50",59.44,241.49,488.98,500.64,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","51",59.44,301.17,608.34,620,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","52",57.5,305.65,617.3,628.96,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","53",59.17,266.99,539.98,551.64,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","54",58.89,317.67,641.34,653,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","55",96.39,229.87,465.74,477.4,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","56",93.61,265.53,537.06,548.72,0.0806646040531903,0.408411876553599,3.54246039642021
"RSTD","57",98.89,78.77,163.54,175.2,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","58",55.56,314.68,635.36,647.02,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","59",62.22,237.61,481.22,492.88,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","60",62.5,205.66,417.32,428.98,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","61",60.28,307.73,621.46,633.12,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","62",56.11,279.7,565.4,577.06,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","63",98.61,86.63,179.26,190.92,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","64",95,145.89,297.78,309.44,0.0912701479249914,0.434110897956674,3.69698427969639
"RSTD","65",56.11,324.81,655.62,667.28,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","67",59.17,233.31,472.62,484.28,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","68",56.39,280.83,567.66,579.32,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","69",52.5,435.25,876.5,888.16,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","70",56.94,236.67,479.34,491,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","71",58.89,292.54,591.08,602.74,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","72",49.72,498.36,1002.72,1014.38,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","73",97.5,165.46,336.92,348.58,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","74",58.89,255.61,517.22,528.88,0.413724326295778,0.343516472261399,0.104671118315309
