"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"Utility","44",50.28,270.48,546.96,558.62,1e-05,1e-05,9.99999858778752e-06
"Utility","45",90.83,143.2,292.4,304.06,0,0.858490742146057,1.51878523579593
"Utility","46",87.22,74.55,155.1,166.76,0.00147512790753133,0.4799009058979,10
"Utility","47",55.28,286.23,578.46,590.12,9.99999991750343e-06,1e-05,0.511762405918253
"Utility","48",53.61,264.55,535.1,546.76,0,0.161456640782635,0.589794650393399
"Utility","49",60.56,238.92,483.84,495.5,0,0.000227975368014743,4.23601572984394
"Utility","50",80.83,116.41,238.82,250.48,0.0475774844252533,0.350519127160827,10
"Utility","51",60.56,262.93,531.86,543.52,0,1,0.095991582088741
"Utility","52",50.83,248.15,502.3,513.96,1e-05,1e-05,9.99999858778752e-06
"Utility","53",59.17,255.25,516.5,528.16,0,0,2.43140712841315
"Utility","54",55.56,239.01,484.02,495.68,0,1,0.0340999076169614
"Utility","55",53.89,233.75,473.5,485.16,0,9.55457519903705e-06,1.6193196035787
"Utility","56",89.72,169.31,344.62,356.28,0,0.909197364214075,1.15126854888847
"Utility","57",98.89,93.49,192.98,204.64,0,1,10
"Utility","58",56.67,259.68,525.36,537.02,0,2.75924374470775e-12,1.42284102361433
"Utility","59",58.89,261.17,528.34,540,0,0.000291045484476853,10
"Utility","60",58.61,217.1,440.2,451.86,0,1e-05,8.73931087390811
"Utility","61",60.83,240.66,487.32,498.98,0,1,0.088196747016461
"Utility","62",53.89,244.27,494.54,506.2,0,0,1.17369354635348
"Utility","63",98.33,41.05,88.1,99.76,0,0.561539654056457,10
"Utility","64",91.94,64.4,134.8,146.46,0,0.510573687640875,10
"Utility","65",63.06,239.94,485.88,497.54,0,1,0.0948920091267569
"Utility","67",76.94,146.69,299.38,311.04,0.00268613106853726,0.44612868011527,9.37806589139862
"Utility","68",53.33,216.26,438.52,450.18,0,1,0.0336538584145408
"Utility","69",47.5,247.29,500.58,512.24,9.99999858778752e-06,1e-05,0.156117745651017
"Utility","70",87.5,94.22,194.44,206.1,0,0.463204686459541,10
"Utility","71",55,246.45,498.9,510.56,0,0,1.10817408927704
"Utility","72",53.89,292.94,591.88,603.54,1e-05,1e-05,0.117759355897152
"Utility","73",97.5,185.59,377.18,388.84,0,0.95965082755395,10
"Utility","74",57.78,237.54,481.08,492.74,0.00666164365907202,0,2.31336287353724
"Utility","75",90,129.23,264.46,276.12,0,0.86904782475189,1.35114018870023
"Utility","76",53.33,253.71,513.42,525.08,0,0,0.821147317081489
"Utility","77",47.78,294.2,594.4,606.06,1e-05,1e-05,9.99999714042236e-06
"Utility","78",93.61,86.13,178.26,189.92,0.00298005017843779,0.578080715534869,10
"Utility","79",50.56,271.17,548.34,560,1e-05,1e-05,9.99999858778752e-06
"Utility","80",81.39,140.04,286.08,297.74,0.00196199681807168,0.46777180439359,10
"Utility","81",93.89,103.32,212.64,224.3,0,0.926103451914408,1.29241683700455
"Utility","82",93.61,127.04,260.08,271.74,0,0.78977479782933,2.50302181115532
"Utility","83",59.17,261.17,528.34,540,0,0,10
"Utility","84",94.17,76.54,159.08,170.74,0,0.528272416117785,10
"Utility","85",59.17,234.35,474.7,486.36,0,1,0.0396038423766489
"Utility","86",98.06,139.54,285.08,296.74,0,1,10
"Utility","87",50.83,249.29,504.58,516.24,0,0,1.11705350774414
"Utility","88",53.61,250.82,507.64,519.3,0.25959493682236,0.0230612327700294,0.927146970602667
"Utility","89",53.89,271.17,548.34,560,1e-05,1e-05,9.99999714042236e-06
"Utility","90",58.33,234.4,474.8,486.46,0,0,1.60921247945621
"Utility","91",58.06,237.49,480.98,492.64,0,1.31919249031191e-12,1.55166682415487
"Utility","92",52.5,248.15,502.3,513.96,1e-05,1e-05,9.999999293311e-06
"Utility","93",58.33,225.41,456.82,468.48,0,1,0.0546474937057694
"Utility","94",98.61,13.3,32.6,44.26,0,0.578403941386611,10
"Utility","95",65.83,235.36,476.72,488.38,0,1,0.124873732823387
"Utility","96",56.39,240.79,487.58,499.24,0,1,0.0336527325635514
"Utility","97",88.89,85.93,177.86,189.52,0.00197448622807455,0.508746614683427,10
"Utility","98",56.39,243.31,492.62,504.28,0,0,1.31745767347428
