simulate_model,fit_model,iteration,ACC,LogL,LogPr,LogPo,AIC,BIC,input_param_1,input_param_2,input_param_3,output_param_1,output_param_2,output_param_3
TD,RSTD,31,100,-138.29,NA,NA,282.58,294.24,0.118789911,0.835414388,NA,0.209217938,0.237353069,0.609884936
TD,RSTD,32,100,-218.96,NA,NA,443.92,455.58,0.050838586,0.410096169,NA,0.26717614,0.132049478,0.073851888
TD,RSTD,33,100,-121.02,NA,NA,248.04,259.7,0.684979063,0.756628526,NA,0.78072439,0.747866836,0.605078812
TD,RSTD,34,100,-202.48,NA,NA,410.96,422.62,0.84256448,0.059924963,NA,0.999990226,0.79511934,0.051663991
TD,RSTD,35,100,-96.59,NA,NA,199.18,210.84,0.271155191,2.695036756,NA,0.391476368,0.276067453,1.062613523
TD,RSTD,36,100,-194.52,NA,NA,395.04,406.7,0.779200295,0.457588244,NA,0.612165657,0.476038351,0.137997695
TD,RSTD,37,100,-85.03,NA,NA,176.06,187.72,0.982565351,3.9257021,NA,0.775909585,0.871606072,1.984043144
TD,RSTD,38,100,-186.29,NA,NA,378.58,390.24,0.533772448,0.225168376,NA,0.619297302,0.429033385,0.135059889
TD,RSTD,39,100,-120.76,NA,NA,247.52,259.18,0.12886257,1.75030501,NA,0.187885321,0.178954393,0.884247126
TD,RSTD,40,100,-208.09,NA,NA,422.18,433.84,0.420502026,0.082863303,NA,0.693816323,0.582674462,0.058340769
TD,RSTD,41,100,-85.61,NA,NA,177.22,188.88,0.860091791,1.200172115,NA,0.9354039,0.854431254,1.338740233
TD,RSTD,42,100,-180.49,NA,NA,366.98,378.64,0.633000508,0.316391955,NA,0.629461337,0.530277863,0.182769606
TD,RSTD,43,100,-94.98,NA,NA,195.96,207.62,0.512010124,2.013763539,NA,0.690746381,0.419077622,1.187264782
TD,RSTD,44,100,-97.86,NA,NA,201.72,213.38,0.405485673,3.895282304,NA,0.778332811,0.417721854,1.10440618
TD,RSTD,45,100,-188.85,NA,NA,383.7,395.36,0.319981757,0.26415653,NA,0.614840839,0.427678129,0.134220466
TD,RSTD,46,100,-85.77,NA,NA,177.54,189.2,0.947748523,1.3639122,NA,0.799438519,0.876807592,1.983852472
TD,RSTD,47,100,-85.1,NA,NA,176.2,187.86,0.885661983,1.476226386,NA,0.778851711,0.844978178,1.559294766
TD,RSTD,48,100,-217.36,NA,NA,440.72,452.38,0.119032545,0.210982074,NA,0.612424666,0.321604342,0.055984131
TD,RSTD,49,100,-136.66,NA,NA,279.32,290.98,0.931592519,0.64870584,NA,0.734500688,0.841852824,0.574610775
TD,RSTD,50,100,-78.11,NA,NA,162.22,173.88,0.753800751,2.898788968,NA,0.417391452,0.712342627,3.302832124
TD,RSTD,51,100,-222.07,NA,NA,450.14,461.8,0.080542078,0.383129638,NA,0.444921076,0.200789221,0.065782963
TD,RSTD,52,100,-219.6,NA,NA,445.2,456.86,0.046201741,0.577519767,NA,0.331747345,0.167669824,0.072423277
TD,RSTD,53,100,-116.83,NA,NA,239.66,251.32,0.407168375,0.881073235,NA,0.909998756,0.420962312,0.699847937
TD,RSTD,54,100,-141.48,NA,NA,288.96,300.62,0.960197768,0.629818246,NA,0.959499261,0.86152777,0.561296084
TD,RSTD,55,100,-196.04,NA,NA,398.08,409.74,0.745619998,0.083828922,NA,0.99999516,0.667255892,0.063496522
TD,RSTD,56,100,-190.84,NA,NA,387.68,399.34,0.387793876,0.184212701,NA,0.576733079,0.454632556,0.120624238
TD,RSTD,57,100,-188.31,NA,NA,382.62,394.28,0.640330957,0.323464683,NA,0.643134708,0.522508676,0.166470732
TD,RSTD,58,100,-190.07,NA,NA,386.14,397.8,0.466265497,0.18377713,NA,0.685347181,0.494929264,0.119957439
TD,RSTD,59,100,-78.11,NA,NA,162.22,173.88,0.781977394,1.173358509,NA,0.417391452,0.712342627,3.302832124
TD,RSTD,60,100,-212.9,NA,NA,431.8,443.46,0.185236022,0.162097268,NA,0.532720302,0.268177173,0.062715422
TD,RSTD,61,100,-190.25,NA,NA,386.5,398.16,0.703108244,0.190494351,NA,0.677451421,0.562748308,0.125900519
TD,RSTD,62,100,-88.03,NA,NA,182.06,193.72,0.540940156,1.711589193,NA,0.733240812,0.434024539,1.314401348
TD,RSTD,63,100,-92.37,NA,NA,190.74,202.4,0.26540178,1.947666736,NA,0.457671316,0.300331287,1.055179003
TD,RSTD,64,100,-191.72,NA,NA,389.44,401.1,0.897607917,0.209870353,NA,0.895212214,0.690729098,0.096148337
TD,RSTD,65,100,-217.02,NA,NA,440.04,451.7,0.398145136,0.048580125,NA,0.720363365,0.586320883,0.035598892
TD,RSTD,66,100,-184.57,NA,NA,375.14,386.8,0.47024403,0.370898499,NA,0.357745504,0.336732787,0.259146464
TD,RSTD,67,100,-79.56,NA,NA,165.12,176.78,0.824348854,1.180028794,NA,0.920414273,0.856111302,1.297811458
TD,RSTD,68,100,-185.96,NA,NA,377.92,389.58,0.503097831,0.322839246,NA,0.537257396,0.428599016,0.188728871
TD,RSTD,69,100,-106.28,NA,NA,218.56,230.22,0.361050225,1.173362455,NA,0.73784174,0.412464994,0.855819844
TD,RSTD,70,100,-191.95,NA,NA,389.9,401.56,0.964988885,0.189227519,NA,0.719701047,0.664523243,0.107725017
TD,RSTD,71,100,-78.11,NA,NA,162.22,173.88,0.789667063,2.045440037,NA,0.417391452,0.712342627,3.302832124
